COUNTRY,YEAR_MONTH,TITLE,CHANNELTITLE,VIEW_COUNT,LIKES_RATIO
CA,2021-03-01,ROSÉ - 'On The Ground' M/V,BLACKPINK,103691157,6.99
DE,2021-03-01,ROSÉ - 'On The Ground' M/V,BLACKPINK,88845217,7.82
FR,2021-03-01,ROSÉ - 'On The Ground' M/V,BLACKPINK,94356729,7.48
GB,2021-03-01,ROSÉ - 'On The Ground' M/V,BLACKPINK,94356729,7.48
IN,2021-03-01,ROSÉ - 'On The Ground' M/V,BLACKPINK,94356729,7.48
JP,2021-03-01,ROSÉ - 'On The Ground' M/V,BLACKPINK,107393974,6.81
KR,2021-03-01,ROSÉ - 'On The Ground' M/V,BLACKPINK,117461115,6.39
MX,2021-03-01,ROSÉ - 'On The Ground' M/V,BLACKPINK,103691157,6.99
RU,2021-03-01,ROSÉ - 'On The Ground' M/V,BLACKPINK,75877531,8.77
US,2021-03-01,ROSÉ - 'On The Ground' M/V,BLACKPINK,103691157,6.99
BR,2021-04-01,Lil Nas X - MONTERO (Call Me By Your Name) (Official Video),LilNasXVEVO,96523532,3.94
CA,2021-04-01,THIS NEARLY GAVE HIM A HEART ATTACK! 🤣😱,Woody & Kleiny Extra,97898252,4.85
DE,2021-04-01,THIS NEARLY GAVE HIM A HEART ATTACK! 🤣😱,Woody & Kleiny Extra,90096185,4.92
FR,2021-04-01,Lil Nas X - MONTERO (Call Me By Your Name) (Official Video),LilNasXVEVO,79848249,4.12
GB,2021-04-01,This is impossible! (Behind the scenes) 🤐  #shorts,Dan Rhodes,74165462,3.28
IN,2021-04-01,8 Year Old Loses His Mind! 🤣😱,Woody & Kleiny Extra,98126454,3.56
JP,2021-04-01,BTS (방탄소년단) 'Film out' Official MV,HYBE LABELS,76838480,9.23
KR,2021-04-01,BTS (방탄소년단) 'Film out' Official MV,HYBE LABELS,78893765,9.05
MX,2021-04-01,Lil Nas X - MONTERO (Call Me By Your Name) (Official Video),LilNasXVEVO,85885861,4.04
RU,2021-04-01,FUNNY DIY FOOT SOAP 🧼🦶😂 || #SHORTS,5-Minute Crafts FAMILY,68030561,2.79
US,2021-04-01,I broke my finger! 😨 (Behind the scenes) 😂 #shorts,Dan Rhodes,82000798,3.08
BR,2021-05-01,BTS (방탄소년단) 'Butter' Official MV,HYBE LABELS,270578092,5.95
CA,2021-05-01,BTS (방탄소년단) 'Butter' Official MV,HYBE LABELS,264407389,6.06
DE,2021-05-01,BTS (방탄소년단) 'Butter' Official MV,HYBE LABELS,166895681,8.51
FR,2021-05-01,BTS (방탄소년단) 'Butter' Official MV,HYBE LABELS,166895681,8.51
GB,2021-05-01,BTS (방탄소년단) 'Butter' Official MV,HYBE LABELS,166895681,8.51
IN,2021-05-01,BTS (방탄소년단) 'Butter' Official MV,HYBE LABELS,264407389,6.06
JP,2021-05-01,BTS (방탄소년단) 'Butter' Official MV,HYBE LABELS,270578092,5.95
KR,2021-05-01,BTS (방탄소년단) 'Butter' Official MV,HYBE LABELS,270578092,5.95
MX,2021-05-01,BTS (방탄소년단) 'Butter' Official MV,HYBE LABELS,270578092,5.95
RU,2021-05-01,BTS (방탄소년단) 'Butter' Official MV,HYBE LABELS,166895681,8.51
US,2021-05-01,BTS (방탄소년단) 'Butter' Official MV,HYBE LABELS,264407389,6.06
BR,2021-06-01,BTS (방탄소년단) 'Butter' Official MV,HYBE LABELS,278080610,5.83
CA,2021-06-01,Guess the sound challenge🎵 #shorts,Tsuriki Show,107534237,2.72
DE,2021-06-01,Guess the sound challenge🎵 #shorts,Tsuriki Show,107534237,2.72
FR,2021-06-01,TWICE Alcohol-Free M/V,JYP Entertainment,78550806,3.31
GB,2021-06-01,Guess the sound challenge🎵 #shorts,Tsuriki Show,115182723,2.72
IN,2021-06-01,Paytm IPL 2021 Ad - The Salon (English),Paytm,141191928,0.00
JP,2021-06-01,BTS (방탄소년단) 'Butter' Official MV,HYBE LABELS,289350312,5.66
KR,2021-06-01,BTS (방탄소년단) 'Butter' Official MV,HYBE LABELS,296314174,5.56
MX,2021-06-01,BTS (방탄소년단) 'Butter' Official MV,HYBE LABELS,278080610,5.83
RU,2021-06-01,Who Is SMARTER? 😂 #shorts,LankyBox,55538419,3.46
US,2021-06-01,Turn into egg - Tutorial #Shorts,Fortnite Fun TV,92004215,3.09
BR,2021-07-01,Turn into orbeez - Tutorial #Shorts,FFUNTV,175875729,3.36
CA,2021-07-01,JETSKI WAX PRANK!! 🤣 - #Shorts,Julius Dein,194625542,2.54
DE,2021-07-01,JETSKI WAX PRANK!! 🤣 - #Shorts,Julius Dein,176598344,2.59
FR,2021-07-01,BTS (방탄소년단) 'Permission to Dance' Official MV,HYBE LABELS,162473728,7.52
GB,2021-07-01,JETSKI WAX PRANK!! 🤣 - #Shorts,Julius Dein,194625542,2.54
IN,2021-07-01,Filhaal2 Mohabbat | Akshay Kumar Ft Nupur Sanon | Ammy Virk | BPraak | Jaani | Arvindr Khaira,DM - Desi Melodies,202091414,1.98
JP,2021-07-01,BTS (방탄소년단) 'Permission to Dance' Official MV,HYBE LABELS,172293664,7.20
KR,2021-07-01,BTS (방탄소년단) 'Permission to Dance' Official MV,HYBE LABELS,194795844,6.55
MX,2021-07-01,BTS (방탄소년단) 'Permission to Dance' Official MV,HYBE LABELS,172293664,7.20
RU,2021-07-01,JETSKI WAX PRANK!! 🤣 - #Shorts,Julius Dein,134577553,2.79
US,2021-07-01,Turn into orbeez - Tutorial #Shorts,FFUNTV,196872957,3.31
BR,2021-08-01,Let's just have fun with your loved ones!😎 #PermissiontoDance Challenge only on YouTube #Shorts,BANGTANTV,74108304,7.74
CA,2021-08-01,Amazing Liquid Experiment #shorts by Family Booms,FAMILY BOOMS,82908930,3.43
DE,2021-08-01,MYSTERY INSIDE TOOTHPASTE?!,Itzshauni,117218206,3.84
FR,2021-08-01,Let's just have fun with your loved ones!😎 #PermissiontoDance Challenge only on YouTube #Shorts,BANGTANTV,67101307,7.94
GB,2021-08-01,MYSTERY INSIDE TOOTHPASTE?!,Itzshauni,121633557,3.82
IN,2021-08-01,Don’t be Oversmart 😎 ~ You Can’t Change your Destiny 😂 ~ @Priyal Kukreja  Dushyant Kukreja #shorts,Dushyant kukreja,100949001,3.92
JP,2021-08-01,Red Velvet 레드벨벳 'Queendom' MV,SMTOWN,53197217,3.94
KR,2021-08-01,Let's just have fun with your loved ones!😎 #PermissiontoDance Challenge only on YouTube #Shorts,BANGTANTV,73755929,7.75
MX,2021-08-01,Dance your 💜 out to #PermissiontoDance 💃🕺 Only on YouTube #Shorts,BANGTANTV,61713036,9.21
RU,2021-08-01,Join the BTS #PermissiontoDance Challenge only on YouTube #Shorts,YouTube,51624621,0.00
US,2021-08-01,Turn into orbeez - Tutorial #Shorts,FFUNTV,206202284,3.32
BR,2021-09-01,LISA - 'LALISA' M/V,BLACKPINK,161848202,7.13
CA,2021-09-01,LISA - 'LALISA' M/V,BLACKPINK,161848202,7.13
DE,2021-09-01,LISA - 'LALISA' M/V,BLACKPINK,161848202,7.13
